"Var1" "Freq" "Perc" "Cumul"
"26580" "the" 54115 0.0515475210705196 0.0515475210705196
"27023" "to" 29522 0.0281213326627345 0.0796688537332541
"930" "and" 28049 0.0267182189505129 0.106387072683767
"1" "a" 25994 0.0247607181503665 0.131147790834133
"18416" "of" 22902 0.0218154176763751 0.152963208510509
"13049" "in" 18620 0.0177365765930532 0.170699785103562
"12780" "i" 16188 0.0154199625074299 0.186119747610992
"26558" "that" 11805 0.011244913355585 0.197364660966577
"10050" "for" 11452 0.0109086613933214 0.208273322359898
"13693" "is" 10753 0.0102428253547315 0.21851614771463
"13746" "it" 8887 0.00846535747489065 0.22698150518952
"18545" "on" 8757 0.0083415253074848 0.235323030497005
"30034" "you" 7821 0.00744993370216268 0.242772964199168
"29501" "with" 7593 0.0072327511316355 0.250005715330803
"28943" "was" 7060 0.00672503924527152 0.256730754576075
"26719" "this" 6066 0.00577819944218371 0.262508954018259
"1572" "at" 5920 0.00563912639263561 0.268148080410894
"11873" "have" 5751 0.005478144575008 0.273626224985902
"17513" "my" 5730 0.00545814091719629 0.279084365903098
"2213" "be" 5595 0.00532954597412098 0.284413911877219
"1442" "as" 5278 0.00502758599667749 0.289441497873897
"3647" "but" 5217 0.00496948013351013 0.294410978007407
"1307" "are" 5126 0.00488279761632603 0.299293775623733
"11919" "he" 4821 0.00459226830048923 0.303886043924222
"29027" "we" 4566 0.00434936674134699 0.308235410665569
"10350" "from" 4516 0.00430173898465243 0.312537149650222
"18122" "not" 4092 0.00389785560788258 0.316435005258104
"3689" "by" 3958 0.00377021321994117 0.320205218478046
"13777" "its" 3671 0.00349682989651441 0.32370204837456
"22786" "said" 3646 0.00347301601816713 0.327175064392727
"12252" "his" 3621 0.00344920213981985 0.330624266532547
"666" "all" 3587 0.00341681526526755 0.334041081797814
"26662" "they" 3519 0.00335204151616296 0.337393123313977
"24493" "so" 3412 0.0032501181168366 0.340643241430814
"18677" "or" 3383 0.00322249401795376 0.343865735448768
"11824" "has" 3352 0.00319296480880313 0.347058700257571
"73" "about" 3245 0.00309104140947678 0.350149741667048
"16382" "me" 3176 0.00302531510523829 0.353175056772286
"18553" "one" 3162 0.00301197933336381 0.35618703610565
"29393" "will" 3155 0.00300531144742658 0.359192347553076
"14234" "just" 3080 0.00293386981238474 0.362126217365461
"17202" "more" 3048 0.00290338804810022 0.365029605413561
"29236" "when" 3006 0.0028633807324768 0.367892986146038
"18810" "out" 2980 0.00283861429899563 0.370731600445034
"896" "an" 2909 0.00277098288448935 0.373502583329523
"29302" "who" 2787 0.00265477115815463 0.376157354487678
"12086" "her" 2745 0.00261476384253121 0.378772118330209
"12864" "if" 2730 0.00260047551552284 0.381372593845732
"29213" "what" 2710 0.00258142441284502 0.383954018258577
"15252" "like" 2647 0.00252141343940987 0.386475431697987
"3833" "can" 2558 0.00243663603249356 0.38891206773048
"7559" "do" 2531 0.0024109170438785 0.391322984774359
"28225" "up" 2414 0.00229946809321324 0.393622452867572
"11568" "had" 2383 0.00226993888406261 0.395892391751635
"26596" "their" 2364 0.00225184033651868 0.398144232088153
"29166" "were" 2334 0.00222326368250194 0.400367495770655
"30059" "your" 2327 0.00221659579656471 0.40258409156722
"26920" "time" 2230 0.00212419794857726 0.404708289515797
"2308" "been" 2196 0.00209181107402496 0.406800100589822
"10803" "get" 2166 0.00206323442000823 0.40886333500983
"24600" "some" 2157 0.00205466142380321 0.410917996433634
"29684" "would" 2131 0.00202989499032204 0.412947891423956
"26634" "there" 2095 0.00199560300550196 0.414943494429458
"23690" "she" 2089 0.00198988767469861 0.416933382104156
"12927" "im" 2086 0.00198703000929694 0.418920412113453
"18806" "our" 1976 0.00188224894456891 0.420802661058022
"17841" "new" 1903 0.00181271241979486 0.422615373477817
"17993" "no" 1896 0.00180604453385762 0.424421418011674
"18177" "now" 1757 0.00167363937024675 0.426095057381921
"13550" "into" 1752 0.00166887659457729 0.427763933976499
"12566" "how" 1709 0.00162791672381997 0.429391850700319
"19497" "people" 1632 0.00155456997851036 0.430946420678829
"26538" "than" 1615 0.00153837654123421 0.432484797220063
"26601" "them" 1604 0.0015278984347614 0.434012695654824
"29255" "which" 1595 0.00151932543855638 0.435532021093381
"763" "also" 1589 0.00151361010775304 0.437045631201134
"7664" "dont" 1541 0.00146788746132626 0.43851351866246
"14588" "know" 1490 0.00141930714949781 0.439932825811958
"26613" "then" 1476 0.00140597137762334 0.441338797189581
"28303" "us" 1467 0.00139739838141832 0.442736195571
"18789" "other" 1440 0.00137167939280326 0.444107874963803
"27763" "two" 1431 0.00136310639659824 0.445470981360401
"22300" "right" 1428 0.00136024873119656 0.446831230091598
"21460" "really" 1415 0.00134786551445598 0.448179095606054
"12218" "him" 1340 0.00127642387941414 0.449455519485468
"6572" "day" 1309 0.00124689467026351 0.450702414155731
"23319" "see" 1308 0.00124594211512962 0.451948356270861
"15637" "love" 1306 0.00124403700486184 0.453192393275723
"11070" "good" 1302 0.00124022678432628 0.454432620060049
"17379" "much" 1301 0.00123927422919239 0.455671894289241
"29133" "well" 1285 0.00122403334705013 0.456895927636292
"18870" "over" 1283 0.00122212823678234 0.458118055873074
"18575" "only" 1271 0.00121069757517565 0.45932875344825
"29954" "year" 1235 0.00117640559035557 0.460505159038605
"441" "after" 1233 0.00117450048008779 0.461679659518693
"29010" "way" 1206 0.00114878149147273 0.462828441010166
"29960" "years" 1181 0.00112496761312545 0.463953408623291
"26697" "think" 1174 0.00111829972718821 0.465071708350479
"11007" "go" 1165 0.00110972673098319 0.466181435081463
"12093" "here" 1165 0.00110972673098319 0.467291161812446
"2275" "because" 1164 0.0011087741758493 0.468399935988295
"9731" "first" 1159 0.00110401140017984 0.469503947388475
"1873" "back" 1143 0.00108877051803758 0.470592717906512
"29243" "where" 1143 0.00108877051803758 0.47168148842455
"797" "am" 1134 0.00108019752183256 0.472761685946383
"8883" "even" 1124 0.00107067197049365 0.473832357916876
"11038" "going" 1114 0.00106114641915474 0.474893504336031
"27134" "too" 1089 0.00103733254080746 0.475930836876838
"29624" "work" 1082 0.00103066465487022 0.476961501531709
"15908" "make" 1056 0.00100589822138905 0.477967399753098
"5865" "could" 1051 0.0010011354457196 0.478968535198817
"17730" "need" 1048 0.000998277780317925 0.479966812979135
"25305" "still" 1043 0.000993515004648469 0.480960327983784
"14836" "last" 1039 0.000989704784112904 0.481950032767897
"26748" "those" 1033 0.000983989453309558 0.482934022221206
"29258" "while" 1026 0.000977321567372319 0.483911343788578
"7189" "did" 1022 0.000973511346836755 0.484884855135415
"1114" "any" 1012 0.000963985795497843 0.485848840930913
"2323" "before" 1003 0.000955412799292823 0.486804253730206
"28890" "want" 1001 0.000953507689025041 0.487757761419231
"26653" "these" 997 0.000949697468489476 0.48870745888772
"12367" "home" 994 0.000946839803087803 0.489654298690808
"18420" "off" 978 0.000931598920945544 0.490585897611754
"17253" "most" 968 0.000922073369606633 0.49150797098136
"11118" "got" 957 0.00091159526313383 0.492419566244494
"11263" "great" 950 0.000904927377196592 0.493324493621691
"15817" "made" 927 0.000883018609117096 0.494207512230808
"15209" "life" 924 0.000880160943715422 0.495087673174523
"22999" "say" 918 0.000874445612912075 0.495962118787435
"10569" "game" 912 0.000868730282108728 0.496830849069544
"28543" "very" 911 0.000867777726974837 0.497698626796519
"1370" "around" 892 0.000849679179430905 0.49854830597595
"5147" "come" 881 0.000839201072958103 0.499387507048908
"26682" "things" 874 0.000832533187020865 0.500220040235929
"25166" "state" 871 0.000829675521619191 0.501049715757548
"2361" "being" 855 0.000814434639476933 0.501864150397025
"26135" "take" 854 0.000813482084343042 0.502677632481368
"7735" "down" 822 0.000783000320058525 0.503460632801426
"16050" "many" 808 0.000769664548184049 0.504230297349611
"26570" "thats" 807 0.000768711993050158 0.504999009342661
"4727" "city" 806 0.000767759437916267 0.505766768780577
"15389" "little" 804 0.000765854327648484 0.506532623108226
"27033" "today" 804 0.000765854327648484 0.507298477435874
"26813" "through" 796 0.000758233886577355 0.508056711322451
"29088" "week" 794 0.000756328776309573 0.508813040098761
"2486" "best" 787 0.000749660890372335 0.509562700989133
"16291" "may" 767 0.000730609787694512 0.510293310776828
"17834" "never" 764 0.000727752122292838 0.511021062899121
"9578" "few" 757 0.0007210842363556 0.511742147135476
"28312" "use" 743 0.000707748464481124 0.512449895599957
"3877" "cant" 724 0.000689649916937192 0.513139545516895
"793" "always" 720 0.000685839696401628 0.513825385213296
"29652" "world" 710 0.000676314145062716 0.514501699358359
"8080" "each" 706 0.000672503924527152 0.515174203282886
"8907" "every" 702 0.000668693703991587 0.515842896986878
"23866" "should" 696 0.00066297837318824 0.516505875360066
"1032" "another" 692 0.000659168152652676 0.517165043512719
"7192" "didnt" 689 0.000656310487251002 0.51782135399997
"17870" "next" 681 0.000648690046179873 0.518470044046149
"15609" "lot" 679 0.000646784935912091 0.519116828982061
"21042" "put" 673 0.000641069605108744 0.51975789858717
"25672" "such" 670 0.00063821193970707 0.520396110526877
"26680" "thing" 668 0.000636306829439288 0.521032417356317
"24610" "something" 667 0.000635354274305397 0.521667771630622
"29334" "why" 665 0.000633449164037614 0.52230122079466
"8606" "enough" 663 0.000631544053769832 0.522932764848429
"15538" "long" 663 0.000631544053769832 0.523564308902199
"23103" "school" 645 0.000614398061359792 0.524178706963559
"7587" "does" 635 0.00060487251002088 0.52478357947358
"9499" "feel" 620 0.000590584183012513 0.525374163656592
"12048" "help" 618 0.00058867907274473 0.525962842729337
"13791" "ive" 618 0.00058867907274473 0.526551521802082
"26305" "team" 617 0.000587726517610839 0.527139248319693
"2584" "big" 605 0.000576295856004145 0.527715544175697
"10162" "found" 604 0.000575343300870254 0.528290887476567
"2531" "between" 599 0.000570580525200799 0.528861468001768
"26546" "thanks" 595 0.000566770304665234 0.529428238306433
"454" "again" 594 0.000565817749531343 0.529994056055965
"30061" "youre" 590 0.000562007528995778 0.53055606358496
"17928" "night" 589 0.000561054973861887 0.531117118558822
"27139" "took" 578 0.000550576867389084 0.531667695426211
"15559" "look" 575 0.000547719201987411 0.532215414628199
"9321" "family" 570 0.000542956426317955 0.532758371054517
"22847" "same" 570 0.000542956426317955 0.533301327480835
"4208" "center" 566 0.000539146205782391 0.533840473686617
"10901" "give" 565 0.0005381936506485 0.534378667337265
"15967" "man" 558 0.000531525764711261 0.534910193101977
"19201" "part" 557 0.00053057320957737 0.535440766311554
"8522" "end" 551 0.000524857878774023 0.535965624190328
"3000" "book" 550 0.000523905323640132 0.536489529513968
"27931" "under" 549 0.000522952768506241 0.537012482282475
"20922" "public" 543 0.000517237437702894 0.537529719720177
"3082" "both" 541 0.000515332327435112 0.538045052047613
"6582" "days" 533 0.000507711886363983 0.538552763933976
"19917" "place" 532 0.000506759331230092 0.539059523265207
"1801" "away" 530 0.000504854220962309 0.539564377486169
"11881" "having" 522 0.00049723377989118 0.54006161126606
"24065" "since" 521 0.000496281224757289 0.540557892490817
"9681" "find" 515 0.000490565893953942 0.541048458384771
"12540" "house" 513 0.00048866078368616 0.541537119168457
"25839" "sure" 513 0.00048866078368616 0.542025779952144
"10810" "getting" 508 0.000483898008016704 0.54250967796016
"11371" "group" 503 0.000479135232347248 0.542988813192508
"7214" "different" 501 0.000477230122079466 0.543466043314587
"2516" "better" 498 0.000474372456677793 0.543940415771265
"26780" "three" 497 0.000473419901543901 0.544413835672809
"22722" "s" 496 0.00047246734641001 0.544886303019219
"12164" "high" 493 0.000469609681008337 0.545355912700227
"18952" "own" 492 0.000468657125874446 0.545824569826102
"29513" "without" 491 0.000467704570740554 0.546292274396842
"20119" "police" 489 0.000465799460472772 0.546758073857315
"11749" "happy" 485 0.000461989239937208 0.547220063097252
"19264" "past" 485 0.000461989239937208 0.547682052337189
"23884" "show" 483 0.000460084129669425 0.548142136466859
"14353" "keep" 481 0.000458179019401643 0.54860031548626
"27581" "trying" 480 0.000457226464267752 0.549057541950528
"12571" "however" 478 0.00045532135399997 0.549512863304528
"23291" "second" 476 0.000453416243732187 0.54996627954826
"457" "against" 474 0.000451511133464405 0.550417790681725
"11948" "health" 472 0.000449606023196623 0.550867396704921
"12899" "ill" 467 0.000444843247527167 0.551312239952448
"20549" "pretty" 466 0.000443890692393276 0.551756130644842
"13089" "including" 465 0.000442938137259385 0.552199068782101
"18134" "nothing" 463 0.000441033026991602 0.552640101809093
"7590" "doesnt" 458 0.000436270251322147 0.553076372060415
"20094" "point" 458 0.000436270251322147 0.553512642311737
"1911" "bad" 456 0.000434365141054364 0.553947007452791
"11139" "government" 456 0.000434365141054364 0.554381372593846
"3632" "business" 455 0.000433412585920473 0.554814785179766
"21422" "read" 455 0.000433412585920473 0.555248197765687
"19980" "play" 453 0.000431507475652691 0.555679705241339
"20720" "program" 453 0.000431507475652691 0.556111212716992
"14060" "job" 450 0.000428649810251017 0.556539862527243
"22604" "rt" 450 0.000428649810251017 0.556968512337494
"22669" "run" 444 0.00042293447944767 0.557391446816942
"2686" "bit" 439 0.000418171703778215 0.55780961852072
"20067" "pm" 439 0.000418171703778215 0.558227790224498
"29285" "white" 438 0.000417219148644324 0.558645009373143
"5901" "county" 437 0.000416266593510432 0.559061275966653
"15124" "let" 437 0.000416266593510432 0.559477542560163
"25051" "st" 436 0.000415314038376541 0.55989285659854
"25142" "start" 435 0.00041436148324265 0.560307218081783
"23265" "season" 434 0.000413408928108759 0.560720627009891
"2384" "believe" 431 0.000410551262707085 0.561131178272598
"12445" "hope" 431 0.000410551262707085 0.561541729535305
"8896" "ever" 428 0.000407693597305412 0.561949423132611
"3773" "call" 427 0.000406741042171521 0.562356164174782
"496" "ago" 426 0.00040578848703763 0.56276195266182
"5249" "company" 422 0.000401978266502065 0.563163930928322
"28313" "used" 422 0.000401978266502065 0.563565909194824
"3951" "care" 420 0.000400073156234283 0.563965982351058
"7656" "done" 419 0.000399120601100392 0.564365102952159
"18503" "old" 419 0.000399120601100392 0.564764223553259
"18549" "once" 419 0.000399120601100392 0.56516334415436
"29163" "went" 419 0.000399120601100392 0.56556246475546
"21440" "real" 411 0.000391500160029262 0.565953964915489
"26751" "though" 410 0.000390547604895371 0.566344512520385
"8914" "everyone" 409 0.00038959504976148 0.566734107570146
"25143" "started" 407 0.000387689939493698 0.56712179750964
"9356" "far" 406 0.000386737384359807 0.567508534894
"25547" "students" 406 0.000386737384359807 0.567895272278359
"27083" "told" 405 0.000385784829225916 0.568281057107585
"2716" "black" 401 0.000381974608690351 0.568663031716276
"756" "already" 399 0.000380069498422569 0.569043101214698
"23005" "says" 399 0.000380069498422569 0.569423170713121
"27802" "u" 397 0.000378164388154786 0.569801335101276
"27065" "together" 396 0.000377211833020895 0.570178546934297
"7607" "doing" 395 0.000376259277887004 0.570554806212184
"17486" "must" 395 0.000376259277887004 0.570931065490071
"15919" "making" 394 0.000375306722753113 0.571306372212824
"24350" "small" 394 0.000375306722753113 0.571681678935577
"15021" "left" 388 0.000369591391949766 0.572051270327527
"29307" "whole" 388 0.000369591391949766 0.572420861719476
"16781" "million" 387 0.000368638836815875 0.572789500556292
"3802" "came" 386 0.000367686281681984 0.573157186837974
"28196" "until" 386 0.000367686281681984 0.573524873119656
"15514" "lol" 384 0.000365781171414201 0.57389065429107
"14470" "kids" 383 0.00036482861628031 0.574255482907351
"25383" "story" 383 0.00036482861628031 0.574620311523631
"9664" "final" 382 0.000363876061146419 0.574984187584777
"11766" "hard" 382 0.000363876061146419 0.575348063645924
"16738" "might" 381 0.000362923506012528 0.575710987151936
"15395" "live" 380 0.000361970950878637 0.576072958102815
"14851" "later" 379 0.000361018395744746 0.57643397649856
"10320" "friend" 378 0.000360065840610855 0.576794042339171
"4311" "change" 377 0.000359113285476963 0.577153155624648
"8017" "during" 377 0.000359113285476963 0.577512268910125
"29638" "working" 377 0.000359113285476963 0.577871382195602
"26665" "theyre" 376 0.000358160730343072 0.578229542925945
"26941" "times" 375 0.000357208175209181 0.578586751101154
"5916" "course" 374 0.00035625562007529 0.578943006721229
"11627" "half" 373 0.000355303064941399 0.57929830978617
"20524" "president" 372 0.000354350509807508 0.579652660295978
"8920" "everything" 371 0.000353397954673617 0.580006058250652
"11017" "god" 371 0.000353397954673617 0.580359456205325
"1473" "asked" 367 0.000349587734138052 0.580709043939463
"4408" "check" 363 0.000345777513602487 0.581054821453066
"24718" "south" 363 0.000345777513602487 0.581400598966668
"26540" "thank" 362 0.000344824958468596 0.581745423925137
"10262" "free" 360 0.000342919848200814 0.582088343773338
"730" "almost" 358 0.000341014737933032 0.582429358511271
"24605" "someone" 356 0.000339109627665249 0.582768468138936
"18790" "others" 354 0.000337204517397467 0.583105672656333
"22390" "road" 353 0.000336251962263576 0.583441924618597
"10440" "fun" 352 0.000335299407129685 0.583777224025727
"12266" "hit" 352 0.000335299407129685 0.584112523432856
"29988" "yes" 352 0.000335299407129685 0.584447822839986
"14904" "law" 351 0.000334346851995794 0.584782169691982
"19515" "percent" 350 0.000333394296861902 0.585115563988844
"26642" "theres" 350 0.000333394296861902 0.585448958285706
"29563" "women" 350 0.000333394296861902 0.585782352582568
"26382" "tell" 348 0.00033148918659412 0.586113841769162
"15564" "looking" 347 0.000330536631460229 0.586444378400622
"11920" "head" 346 0.000329584076326338 0.586773962476948
"20016" "please" 346 0.000329584076326338 0.587103546553274
"26756" "thought" 346 0.000329584076326338 0.587433130629601
"17221" "morning" 345 0.000328631521192447 0.587761762150793
"27578" "try" 344 0.000327678966058555 0.588089441116852
"22513" "room" 343 0.000326726410924664 0.588416167527776
"13722" "isnt" 342 0.000325773855790773 0.588741941383567
"23551" "set" 342 0.000325773855790773 0.589067715239358
"18574" "online" 340 0.000323868745522991 0.589391583984881
"12129" "hes" 339 0.0003229161903891 0.58971450017527
"28826" "wait" 339 0.0003229161903891 0.590037416365659
"8095" "early" 334 0.000318153414719644 0.590355569780379
"9772" "five" 334 0.000318153414719644 0.590673723195098
"17117" "money" 333 0.000317200859585753 0.590990924054684
"18614" "open" 332 0.000316248304451862 0.591307172359136
"17530" "myself" 331 0.000315295749317971 0.591622468108454
"27157" "top" 330 0.000314343194184079 0.591936811302638
"17158" "month" 326 0.000310532973648515 0.592247344276287
"10171" "four" 323 0.000307675308246841 0.592555019584534
"15115" "less" 323 0.000307675308246841 0.59286269489278
"29994" "yet" 323 0.000307675308246841 0.593170370201027
"21365" "rather" 321 0.000305770197979059 0.593476140399006
"5919" "court" 320 0.000304817642845168 0.593780958041851
"738" "along" 319 0.000303865087711277 0.594084823129563
"10325" "friends" 319 0.000303865087711277 0.594388688217274
"16760" "miles" 319 0.000303865087711277 0.594692553304985
"23338" "seems" 319 0.000303865087711277 0.594996418392697
"18464" "often" 318 0.000302912532577386 0.595299330925274
"9995" "follow" 317 0.000301959977443494 0.595601290902717
"16512" "members" 317 0.000301959977443494 0.595903250880161
"5079" "college" 315 0.000300054867175712 0.596203305747337
"15310" "line" 315 0.000300054867175712 0.596503360614512
"20285" "post" 315 0.000300054867175712 0.596803415481688
"17162" "months" 313 0.00029814975690793 0.597101565238596
"27122" "tonight" 313 0.00029814975690793 0.597399714995504
"18102" "north" 312 0.000297197201774039 0.597696912197278
"3929" "car" 311 0.000296244646640148 0.597993156843918
"4520" "children" 311 0.000296244646640148 0.598289401490558
"21134" "questions" 309 0.000294339536372365 0.598583741026931
"14994" "least" 308 0.000293386981238474 0.598877128008169
"18470" "oh" 308 0.000293386981238474 0.599170514989408
"3336" "bring" 307 0.000292434426104583 0.599462949415512
"1759" "available" 306 0.000291481870970692 0.599754431286483
"7301" "director" 305 0.000290529315836801 0.60004496060232
"10904" "given" 305 0.000290529315836801 0.600335489918156
"17855" "news" 304 0.00028957676070291 0.600625066678859
"12537" "hours" 302 0.000287671650435127 0.600912738329294
"15258" "likely" 302 0.000287671650435127 0.60120040997973
"16527" "men" 302 0.000287671650435127 0.601488081630165
"20644" "probably" 301 0.000286719095301236 0.601774800725466
"28973" "water" 301 0.000286719095301236 0.602061519820767
"29252" "whether" 301 0.000286719095301236 0.602348238916068
"4880" "close" 299 0.000284813985033454 0.602633052901102
"10420" "full" 298 0.000283861429899563 0.602916914331001
"18224" "number" 296 0.00028195631963178 0.603198870650633
"23572" "several" 295 0.000281003764497889 0.603479874415131
"8296" "either" 294 0.000280051209363998 0.603759925624495
"2926" "body" 291 0.000277193543962325 0.604037119168457
"29512" "within" 291 0.000277193543962325 0.60431431271242
"60" "able" 290 0.000276240988828433 0.604590553701248
"249" "actually" 290 0.000276240988828433 0.604866794690077
"2285" "become" 290 0.000276240988828433 0.605143035678905
"11521" "guys" 290 0.000276240988828433 0.605419276667734
"14492" "kind" 290 0.000276240988828433 0.605695517656562
"17740" "needs" 289 0.000275288433694542 0.605970806090257
"25818" "support" 289 0.000275288433694542 0.606246094523951
"158" "according" 288 0.000274335878560651 0.606520430402512
"10026" "food" 288 0.000274335878560651 0.606794766281072
"17085" "moment" 287 0.00027338332342676 0.607068149604499
"4769" "class" 286 0.000272430768292869 0.607340580372792
"10115" "former" 285 0.000271478213158978 0.607612058585951
"21436" "ready" 285 0.000271478213158978 0.60788353679911
"869" "among" 284 0.000270525658025086 0.608154062457135
"17890" "nice" 283 0.000269573102891195 0.608423635560026
"1123" "anything" 282 0.000268620547757304 0.608692256107784
"23339" "seen" 282 0.000268620547757304 0.608960876655541
"16295" "maybe" 281 0.000267667992623413 0.609228544648164
"17578" "name" 280 0.000266715437489522 0.609495260085654
"18300" "obama" 280 0.000266715437489522 0.609761975523143
"18440" "office" 280 0.000266715437489522 0.610028690960633
"11041" "gold" 279 0.000265762882355631 0.610294453842988
"11518" "guy" 279 0.000265762882355631 0.610560216725344
"23959" "side" 277 0.000263857772087848 0.610824074497432
"28953" "wasnt" 277 0.000263857772087848 0.61108793226952
"12823" "id" 276 0.000262905216953957 0.611350837486474
"13389" "instead" 276 0.000262905216953957 0.611613742703428
"24648" "soon" 276 0.000262905216953957 0.611876647920382
"6928" "department" 275 0.000261952661820066 0.612138600582202
"15903" "major" 275 0.000261952661820066 0.612400553244022
"18693" "order" 275 0.000261952661820066 0.612662505905842
"26453" "terms" 274 0.000261000106686175 0.612923506012528
"3013" "books" 273 0.000260047551552284 0.61318355356408
"14981" "learn" 273 0.000260047551552284 0.613443601115633
"28892" "wanted" 273 0.000260047551552284 0.613703648667185
"1308" "area" 269 0.000256237331016719 0.613959885998202
"2616" "bill" 267 0.000254332220748937 0.614214218218951
"3776" "called" 267 0.000254332220748937 0.6144685504397
"17314" "move" 267 0.000254332220748937 0.614722882660448
"29091" "weekend" 267 0.000254332220748937 0.614977214881197
"21855" "remember" 266 0.000253379665615046 0.615230594546812
"4821" "cleveland" 265 0.000252427110481155 0.615483021657294
"5866" "couldnt" 265 0.000252427110481155 0.615735448767775
"6407" "d" 265 0.000252427110481155 0.615987875878256
"11681" "hand" 265 0.000252427110481155 0.616240302988737
"4037" "case" 264 0.000251474555347264 0.616491777544084
"5627" "continue" 264 0.000251474555347264 0.616743252099431
"29750" "writing" 263 0.000250522000213372 0.616993774099645
"842" "american" 262 0.000249569445079481 0.617243343544724
"17639" "national" 262 0.000249569445079481 0.617492912989804
"18451" "officials" 262 0.000249569445079481 0.617742482434883
"221" "across" 261 0.00024861688994559 0.617991099324829
"15407" "living" 261 0.00024861688994559 0.618239716214774
"29099" "weeks" 261 0.00024861688994559 0.61848833310472
"15404" "lives" 260 0.000247664334811699 0.618735997439532
"21431" "reading" 260 0.000247664334811699 0.618983661774343
"21597" "red" 260 0.000247664334811699 0.619231326109155
"23105" "schools" 260 0.000247664334811699 0.619478990443967
"12825" "idea" 258 0.000245759224543917 0.619724749668511
"14090" "john" 258 0.000245759224543917 0.619970508893055
"9716" "fire" 257 0.000244806669410025 0.620215315562465
"26530" "th" 256 0.000243854114276134 0.620459169676741
"28324" "using" 256 0.000243854114276134 0.620703023791017
"1251" "april" 254 0.000241949004008352 0.620944972795025
"2824" "blog" 254 0.000241949004008352 0.621186921799034
"16460" "meet" 254 0.000241949004008352 0.621428870803042
"29743" "write" 253 0.000240996448874461 0.621669867251917
"4301" "chance" 252 0.00024004389374057 0.621909911145657
"18560" "ones" 252 0.00024004389374057 0.622149955039398
"18590" "onto" 252 0.00024004389374057 0.622389998933138
"23514" "series" 252 0.00024004389374057 0.622630042826879
"25170" "statement" 251 0.000239091338606679 0.622869134165486
"28894" "wants" 251 0.000239091338606679 0.623108225504092
"19775" "piece" 250 0.000238138783472787 0.623346364287565
"22808" "sales" 250 0.000238138783472787 0.623584503071038
"3936" "card" 249 0.000237186228338896 0.623821689299377
"19177" "park" 249 0.000237186228338896 0.624058875527716
"25359" "stop" 249 0.000237186228338896 0.624296061756054
"5895" "country" 248 0.000236233673205005 0.624532295429259
"9246" "fact" 248 0.000236233673205005 0.624768529102464
"13005" "important" 248 0.000236233673205005 0.625004762775669
"23334" "seem" 248 0.000236233673205005 0.625240996448874
"15915" "makes" 247 0.000235281118071114 0.625476277566946
"27688" "tv" 247 0.000235281118071114 0.625711558685017
"29421" "win" 247 0.000235281118071114 0.625946839803088
"1469" "ask" 246 0.000234328562937223 0.626181168366025
"2352" "behind" 246 0.000234328562937223 0.626415496928962
"5167" "coming" 246 0.000234328562937223 0.6266498254919
"15460" "local" 246 0.000234328562937223 0.626884154054837
"29610" "word" 246 0.000234328562937223 0.627118482617774
"22958" "saturday" 245 0.000233376007803332 0.627351858625577
"28768" "voters" 245 0.000233376007803332 0.627585234633381
"269" "added" 244 0.00023242345266944 0.62781765808605
"6695" "decided" 244 0.00023242345266944 0.628050081538719
"10495" "future" 244 0.00023242345266944 0.628282504991389
"25177" "states" 244 0.00023242345266944 0.628514928444058
"9206" "eyes" 243 0.000231470897535549 0.628746399341594
"10577" "games" 243 0.000231470897535549 0.628977870239129
"14601" "known" 243 0.000231470897535549 0.629209341136665
"24748" "space" 243 0.000231470897535549 0.629440812034201
"707" "allowed" 242 0.000230518342401658 0.629671330376602
"778" "although" 242 0.000230518342401658 0.629901848719004
"16067" "march" 242 0.000230518342401658 0.630132367061406
"20359" "power" 242 0.000230518342401658 0.630362885403807
"5234" "community" 241 0.000229565787267767 0.630592451191075
"14845" "late" 241 0.000229565787267767 0.630822016978343
"21519" "recent" 241 0.000229565787267767 0.63105158276561
"25198" "stay" 241 0.000229565787267767 0.631281148552878
"26150" "talk" 241 0.000229565787267767 0.631510714340146
"6645" "death" 240 0.000228613232133876 0.63173932757228
"11967" "heart" 240 0.000228613232133876 0.631967940804414
"19936" "plan" 240 0.000228613232133876 0.632196554036548
"1859" "baby" 239 0.000227660676999985 0.632424214713548
"18649" "opportunity" 239 0.000227660676999985 0.632651875390548
"8590" "enjoy" 238 0.000226708121866094 0.632878583512414
"15561" "looked" 238 0.000226708121866094 0.63310529163428
"16858" "minutes" 238 0.000226708121866094 0.633331999756146
